n_type,column,prev,prev2,status,keisen_count,total_samples,match_count,match_rate,keisen_predictions,actual_top_n
n3,百の位,0,0,MATCH,3,41,3,1.0,"5,9,3","5,9,3"
n3,百の位,1,0,MATCH,3,53,3,1.0,"3,9,5","3,9,5"
n3,百の位,2,0,PARTIAL_MATCH,5,54,4,0.8,"5,4,3,8,9","5,4,3,9,0"
n3,百の位,3,0,MATCH,3,52,3,1.0,"7,8,6","7,8,6"
n3,百の位,4,0,MATCH,4,55,4,1.0,"0,7,1,4","0,7,1,4"
n3,百の位,5,0,MATCH,3,48,3,1.0,"4,5,9","4,5,9"
n3,百の位,6,0,MATCH,3,52,3,1.0,"7,4,2","7,4,2"
n3,百の位,7,0,MATCH,5,41,5,1.0,"6,1,2,3,7","6,1,2,3,7"
n3,百の位,8,0,MATCH,3,45,3,1.0,"5,2,9","2,5,9"
n3,百の位,9,0,MATCH,3,54,3,1.0,"7,1,4","7,1,4"
n3,百の位,0,1,MATCH,4,55,4,1.0,"4,2,6,8","4,2,6,8"
n3,百の位,1,1,MATCH,4,51,4,1.0,"3,8,2,4","3,8,2,4"
n3,百の位,2,1,MATCH,6,50,6,1.0,"2,5,0,1,3,9","2,5,0,1,3,9"
n3,百の位,3,1,PARTIAL_MATCH,4,62,3,0.75,"0,6,3,8","0,6,3,2"
n3,百の位,4,1,MATCH,3,49,3,1.0,"0,7,9","0,7,9"
n3,百の位,5,1,MATCH,4,48,4,1.0,"4,0,3,8","4,0,3,8"
n3,百の位,6,1,MATCH,3,37,3,1.0,"7,8,9","7,8,9"
n3,百の位,7,1,MATCH,5,47,5,1.0,"6,1,0,5,8","6,1,0,5,8"
n3,百の位,8,1,MATCH,3,53,3,1.0,"7,5,0","7,5,0"
n3,百の位,9,1,MATCH,4,45,4,1.0,"2,0,6,8","2,0,6,8"
n3,百の位,0,2,MATCH,4,49,4,1.0,"2,1,5,6","2,1,5,6"
n3,百の位,1,2,MATCH,5,45,5,1.0,"3,0,1,8,9","3,0,1,8,9"
n3,百の位,2,2,MATCH,3,46,3,1.0,"0,4,3","0,4,3"
n3,百の位,3,2,MATCH,3,63,3,1.0,"8,2,6","8,2,6"
n3,百の位,4,2,MATCH,5,46,5,1.0,"5,8,0,1,9","5,8,0,1,9"
n3,百の位,5,2,MATCH,3,44,3,1.0,"7,0,1","7,0,1"
n3,百の位,6,2,MATCH,3,48,3,1.0,"9,7,1","9,7,1"
n3,百の位,7,2,MATCH,3,45,3,1.0,"4,9,8","4,9,8"
n3,百の位,8,2,MATCH,3,51,3,1.0,"0,1,9","1,0,9"
