round_number,draw_date,n3_winning,n4_winning,n3_rehearsal,n4_rehearsal
6635,2025-02-27,462,1786,317.0,5694
6636,2025-02-28,207,5802,223.0,7266
6637,2025-03-01,669,1599,379.0,5736
6638,2025-03-02,265,8583,765.0,3045
6640,2025-03-04,216,1366,847.0,3258
6641,2025-03-05,100,2324,274.0,6356
6642,2025-03-06,944,9774,721.0,9980
6643,2025-03-07,672,4409,456.0,3798
6644,2025-03-08,496,8259,31.0,3219
6645,2025-03-09,842,6385,43.0,8068
6646,2025-03-10,239,5420,778.0,8600
6647,2025-03-11,557,2315,294.0,818
6648,2025-03-12,169,7240,678.0,4259
6650,2025-03-14,314,9590,42.0,5663
6651,2025-03-15,577,5400,155.0,194
6654,2025-03-18,799,4827,812.0,365
6655,2025-03-19,973,2317,918.0,2647
6657,2025-03-21,100,3881,688.0,100
6660,2025-03-24,427,3343,875.0,6408
6661,2025-03-25,354,1946,161.0,6498
6662,2025-03-26,720,3273,192.0,4241
6663,2025-03-27,796,6744,292.0,3789
6665,2025-03-29,157,9265,643.0,4699
6666,2025-03-30,770,1890,57.0,2440
6667,2025-03-31,531,6398,991.0,8053
6668,2025-04-01,423,3026,435.0,1949
6669,2025-04-02,185,9378,725.0,934
6671,2025-04-04,372,3839,785.0,2427
6672,2025-04-05,394,4968,605.0,8933
6673,2025-04-06,422,1170,532.0,5688
6674,2025-04-07,638,6318,967.0,873
6676,2025-04-09,417,1781,414.0,6345
6678,2025-04-11,959,8256,600.0,2690
6680,2025-04-13,312,9200,892.0,7132
6682,2025-04-15,766,2853,820.0,2960
6683,2025-04-16,187,7006,883.0,4055
6684,2025-04-17,150,9843,838.0,5099
6686,2025-04-19,320,8555,830.0,5564
6687,2025-04-20,146,1431,468.0,2671
6689,2025-04-22,990,2191,609.0,9238
6692,2025-04-25,730,6185,765.0,5246
6693,2025-04-26,337,8221,59.0,2062
6694,2025-04-27,515,3671,376.0,6586
6695,2025-04-28,964,1695,149.0,3048
6696,2025-04-29,129,7892,288.0,8157
6697,2025-04-30,214,9721,482.0,2682
6698,2025-05-01,623,2078,164.0,4291
6699,2025-05-02,457,4417,959.0,7525
6701,2025-05-04,467,7856,593.0,6704
6702,2025-05-05,543,7011,252.0,636
6703,2025-05-06,313,1820,507.0,463
6704,2025-05-07,574,2166,123.0,7238
6705,2025-05-08,629,7555,829.0,1367
6706,2025-05-09,249,8842,182.0,5578
6707,2025-05-10,440,4811,355.0,2300
6708,2025-05-11,637,7834,9.0,1170
6710,2025-05-13,896,7059,99.0,4595
6711,2025-05-14,978,9686,698.0,7379
6712,2025-05-15,446,4071,382.0,1081
6713,2025-05-16,718,1670,513.0,6114
6714,2025-05-17,253,3449,732.0,8210
6715,2025-05-18,878,5323,340.0,5168
6716,2025-05-19,752,8968,946.0,7253
6717,2025-05-20,652,2948,275.0,4731
6718,2025-05-21,133,8391,919.0,8674
6720,2025-05-23,990,1952,471.0,9783
6721,2025-05-24,990,8156,731.0,8042
6722,2025-05-25,190,1883,454.0,348
6723,2025-05-26,502,8892,827.0,1594
6724,2025-05-27,152,9565,824.0,1258
6725,2025-05-28,122,1898,745.0,8327
6726,2025-05-29,371,4368,644.0,12
6727,2025-05-30,611,4116,780.0,2342
6728,2025-05-31,870,9601,588.0,9410
6729,2025-06-01,263,6418,92.0,8424
6730,2025-06-02,355,2762,564.0,3402
6731,2025-06-03,680,9899,61.0,731
6732,2025-06-04,752,2718,285.0,6758
6733,2025-06-05,902,9115,705.0,2905
6734,2025-06-06,238,3697,569.0,2082
6735,2025-06-07,564,7357,897.0,4396
6736,2025-06-08,849,6779,922.0,5220
6737,2025-06-09,549,7141,541.0,6568
6738,2025-06-10,898,2839,364.0,1701
6739,2025-06-11,800,2370,644.0,8897
6740,2025-06-12,819,5944,731.0,1800
6742,2025-06-14,227,6563,450.0,1394
6743,2025-06-15,490,5084,365.0,3687
6744,2025-06-16,284,3142,640.0,8664
6745,2025-06-17,918,3176,265.0,8963
6746,2025-06-18,535,7666,342.0,2759
6750,2025-06-22,120,7592,82.0,5024
6751,2025-06-23,695,5354,155.0,8965
6752,2025-06-24,536,7102,721.0,1869
6753,2025-06-25,870,4804,470.0,4466
6754,2025-06-26,652,1351,486.0,60
6755,2025-06-27,306,8174,938.0,1367
6756,2025-06-28,458,8622,98.0,1906
6757,2025-06-29,621,2940,578.0,6018
6758,2025-06-30,149,6757,670.0,8218
