round_number,draw_date,weekday,n3_winning,n4_winning,n3_rehearsal,n4_rehearsal
6855,2025-11-12,2,663,2123,757,8647
6854,2025-11-11,1,758,3403,844,2550
6853,2025-11-10,0,256,6727,766,0932
6852,2025-11-07,4,289,3049,831,8473
6851,2025-11-06,3,199,2981,393,2890
6850,2025-11-06,3,344,5282,125,3011
6849,2025-11-05,2,684,9227,631,7668
6848,2025-11-04,1,810,9275,211,8695
6847,2025-11-03,0,395,0137,806,7007
6846,2025-10-31,4,013,8726,208,8835
6845,2025-10-30,3,652,4714,756,6277
6844,2025-10-29,2,656,0017,075,5644
6843,2025-10-28,1,631,0523,977,1388
6842,2025-10-27,0,472,4591,191,7640
6841,2025-10-24,4,209,8612,NULL,NULL
6840,2025-10-23,3,139,2326,391,7235
6839,2025-10-22,2,204,8607,368,5646
6838,2025-10-21,1,518,0100,445,6256
6837,2025-10-20,0,729,5441,168,4162
6836,2025-10-17,4,157,4325,679,7327
6835,2025-10-16,3,374,1350,493,0770
6834,2025-10-15,2,404,4706,975,3229
6833,2025-10-14,1,278,6896,642,1155
6832,2025-10-13,0,708,3148,965,4940
6831,2025-10-10,4,636,6352,307,4551
6830,2025-10-09,3,404,0220,443,1973
6829,2025-10-08,2,654,7717,683,1906
6828,2025-10-07,1,523,0933,497,9611
6827,2025-10-06,0,279,2964,652,1756
6826,2025-10-03,4,936,1916,846,4869
6825,2025-10-02,3,213,5280,914,3080
6824,2025-10-01,2,194,7765,438,8666
6823,2025-09-30,1,789,0012,621,3950
6822,2025-09-29,0,049,1540,826,9340
6821,2025-09-26,4,439,7728,660,5827
6820,2025-09-25,3,055,2477,801,3146
6819,2025-09-24,2,072,4787,236,6875
6818,2025-09-23,1,064,5808,051,4548
6817,2025-09-22,0,630,8721,989,5681
6816,2025-09-19,4,368,6152,778,9576
6815,2025-09-18,3,578,7604,918,8362
6814,2025-09-17,2,672,1314,631,6935
6813,2025-09-16,1,573,6867,573,6638
6812,2025-09-15,0,411,8991,818,2931
6811,2025-09-12,4,827,7961,843,1809
6810,2025-09-11,3,777,2679,612,9125
6809,2025-09-10,2,891,5260,323,9149
6808,2025-09-09,1,572,2841,244,1463
6807,2025-09-08,0,856,1871,653,4846
6806,2025-09-05,4,131,3376,672,9522
6805,2025-09-04,3,806,4598,021,0757
6804,2025-09-03,2,275,0538,799,9348
6803,2025-09-02,1,229,0549,822,8464
6802,2025-09-01,0,805,1929,620,1976
6801,2025-08-29,4,186,0774,697,0159
6800,2025-08-28,3,038,6694,970,4461
6799,2025-08-27,2,650,1624,573,2100
6798,2025-08-26,1,313,9463,113,4101
6797,2025-08-25,0,461,9660,972,3327
6796,2025-08-22,4,741,5806,459,5310
6795,2025-08-21,3,218,8749,072,9409
6794,2025-08-20,2,631,9288,934,0485
6793,2025-08-19,1,776,9959,566,3518
6792,2025-08-18,0,486,5140,036,4174
6791,2025-08-15,4,142,6362,452,4760
6790,2025-08-14,3,766,5541,437,5245
6789,2025-08-13,2,462,2458,903,0618
6788,2025-08-12,1,090,6014,044,7996
6787,2025-08-11,0,657,1365,663,5634
6786,2025-08-08,4,207,5835,671,7798
6785,2025-08-07,3,300,4876,325,8845
6784,2025-08-06,2,361,1027,440,2651
6783,2025-08-05,1,856,3080,174,7619
6782,2025-08-04,0,808,3497,584,7513
6781,2025-08-01,4,244,0536,017,0673
6780,2025-07-31,3,491,3175,571,8218
6779,2025-07-30,2,524,1592,264,6018
6778,2025-07-29,1,648,6710,408,1906
6777,2025-07-28,0,294,5454,651,1367
6776,2025-07-25,4,671,7924,086,0060
6775,2025-07-24,3,801,5493,468,4466
6774,2025-07-23,2,168,8714,282,1869
6773,2025-07-22,1,224,7780,151,8965
6772,2025-07-21,0,601,2462,112,5024
6771,2025-07-18,4,442,2337,330,9746
6770,2025-07-17,3,693,2037,965,9841
6769,2025-07-16,2,548,5552,822,0324
6768,2025-07-15,1,588,5225,904,2759
6767,2025-07-14,0,324,0172,202,8963
6766,2025-07-11,4,364,4790,503,8664
6765,2025-07-10,3,843,5358,209,3687
6764,2025-07-09,2,614,2982,956,1394
6763,2025-07-08,1,190,9181,741,2382
6762,2025-07-07,0,407,2452,839,1800
6761,2025-07-04,4,108,1479,472,8897
6760,2025-07-03,3,897,3099,184,1701
6759,2025-07-02,2,307,6759,571,6568
6758,2025-07-01,1,149,6757,670,8218
6757,2025-06-30,0,621,2940,578,6018
6756,2025-06-27,4,458,8622,098,1906
6755,2025-06-26,3,306,8174,938,1367
6754,2025-06-25,2,652,1351,486,0060
6753,2025-06-24,1,870,4804,470,4466
6752,2025-06-23,0,536,7102,721,1869
6751,2025-06-20,4,695,5354,155,8965
6750,2025-06-19,3,120,7592,082,5024
6749,2025-06-18,2,482,0975,578,9746
6748,2025-06-17,1,040,6326,836,9841
6747,2025-06-16,0,069,2482,395,0324
6746,2025-06-13,4,535,7666,342,2759
6745,2025-06-12,3,918,3176,265,8963
6744,2025-06-11,2,284,3142,640,8664
6743,2025-06-10,1,490,5084,365,3687
6742,2025-06-09,0,227,6563,450,1394
6741,2025-06-06,4,066,9318,855,2382
6740,2025-06-05,3,819,5944,731,1800
6739,2025-06-04,2,800,2370,644,8897
6738,2025-06-03,1,898,2839,364,1701
6737,2025-06-02,0,549,7141,541,6568
6736,2025-05-30,4,849,6779,922,5220
6735,2025-05-29,3,564,7357,897,4396
6734,2025-05-28,2,238,3697,569,2082
6733,2025-05-27,1,902,9115,705,2905
6732,2025-05-26,0,752,2718,285,6758
6731,2025-05-23,4,680,9899,061,0731
6730,2025-05-22,3,355,2762,564,3402
6729,2025-05-21,2,263,6418,092,8424
6728,2025-05-20,1,870,9601,588,9410
6727,2025-05-19,0,611,4116,780,2342
6726,2025-05-16,4,371,4368,644,0012
6725,2025-05-15,3,122,1898,745,8327
6724,2025-05-14,2,152,9565,824,1258
6723,2025-05-13,1,502,8892,827,1594
6722,2025-05-12,0,190,1883,454,0348
6721,2025-05-09,4,990,8156,731,8042
6720,2025-05-08,3,990,1952,471,9783
6719,2025-05-07,2,157,0081,145,9522
6718,2025-05-06,1,133,8391,919,8674
6717,2025-05-05,0,652,2948,275,4731
6716,2025-05-02,4,752,8968,946,7253
6715,2025-05-01,3,878,5323,340,5168
6714,2025-04-30,2,253,3449,732,8210
6713,2025-04-29,1,718,1670,513,6114
6712,2025-04-28,0,446,4071,382,1081
6711,2025-04-25,4,978,9686,698,7379
6710,2025-04-24,3,896,7059,099,4595
6709,2025-04-23,2,020,6697,320,2884
6708,2025-04-22,1,637,7834,009,1170
6707,2025-04-21,0,440,4811,355,2300
6706,2025-04-18,4,249,8842,182,5578
6705,2025-04-17,3,629,7555,829,1367
6704,2025-04-16,2,574,2166,123,7238
6703,2025-04-15,1,313,1820,507,0463
6702,2025-04-14,0,543,7011,252,0636
6701,2025-04-11,4,467,7856,593,6704
6700,2025-04-10,3,046,4013,516,2614
6699,2025-04-09,2,457,4417,959,7525
6698,2025-04-08,1,623,2078,164,4291
6697,2025-04-07,0,214,9721,482,2682
6696,2025-04-04,4,129,7892,288,8157
6695,2025-04-03,3,964,1695,149,3048
6694,2025-04-02,2,515,3671,376,6586
6693,2025-04-01,1,337,8221,059,2062
6692,2025-03-31,0,730,6185,765,5246
6691,2025-03-28,4,725,0745,701,7597
6690,2025-03-27,3,029,8397,452,3451
6689,2025-03-26,2,990,2191,609,9238
6688,2025-03-25,1,948,0488,622,9479
6687,2025-03-24,0,146,1431,468,2671
6686,2025-03-21,4,320,8555,830,5564
6685,2025-03-20,3,099,1087,707,4957
6684,2025-03-19,2,150,9843,838,5099
6683,2025-03-18,1,187,7006,883,4055
6682,2025-03-17,0,766,2853,820,2960
6681,2025-03-14,4,946,0384,454,3394
6680,2025-03-13,3,312,9200,892,7132
6679,2025-03-12,2,036,8261,921,3856
6678,2025-03-11,1,959,8256,600,2690
6677,2025-03-10,0,128,0948,965,8078
6676,2025-03-07,4,417,1781,414,6345
6675,2025-03-06,3,052,8194,762,4848
6674,2025-03-05,2,638,6318,967,0873
6673,2025-03-04,1,422,1170,532,5688
6672,2025-03-03,0,394,4968,605,8933
6671,2025-02-28,4,372,3839,785,2427
6670,2025-02-27,3,996,0664,190,2028
6669,2025-02-26,2,185,9378,725,0934
6668,2025-02-25,1,423,3026,435,1949
6667,2025-02-24,0,531,6398,991,8053
6666,2025-02-21,4,770,1890,057,2440
6665,2025-02-20,3,157,9265,643,4699
6664,2025-02-19,2,804,0385,969,4323
6663,2025-02-18,1,796,6744,292,3789
6662,2025-02-17,0,720,3273,192,4241
6661,2025-02-14,4,354,1946,161,6498
6660,2025-02-13,3,427,3343,875,6408
6659,2025-02-12,2,086,8942,377,9827
6658,2025-02-11,1,249,0859,406,5115
6657,2025-02-10,0,100,3881,688,0100
6656,2025-02-07,4,033,0853,622,5590
6655,2025-02-06,3,973,2317,918,2647
6654,2025-02-05,2,799,4827,812,0365
6653,2025-02-04,1,168,0235,904,7357
6652,2025-02-03,0,020,1596,551,3781
6651,2025-01-31,4,577,5400,155,0194
6650,2025-01-30,3,314,9590,042,5663
6649,2025-01-29,2,763,0893,334,4961
6648,2025-01-28,1,169,7240,678,4259
6647,2025-01-27,0,557,2315,294,0818
6646,2025-01-24,4,239,5420,778,8600
6645,2025-01-23,3,842,6385,043,8068
6644,2025-01-22,2,496,8259,031,3219
6643,2025-01-21,1,672,4409,456,3798
6642,2025-01-20,0,944,9774,721,9980
6641,2025-01-17,4,100,2324,274,6356
6640,2025-01-16,3,216,1366,847,3258
6639,2025-01-15,2,606,0135,560,3714
6638,2025-01-14,1,265,8583,765,3045
6637,2025-01-13,0,669,1599,379,5736
6636,2025-01-10,4,207,5802,223,7266
6635,2025-01-09,3,462,1786,317,5694
6634,2025-01-08,2,238,3754,531,7021
6633,2025-01-07,1,188,0685,370,1824
6632,2025-01-06,0,303,9983,566,8208
6631,2024-12-27,4,953,4386,254,1752
6630,2024-12-26,3,315,4119,729,4564
6629,2024-12-25,2,404,0474,597,4015
6628,2024-12-24,1,496,5231,721,9531
6627,2024-12-23,0,495,5892,895,0126
6626,2024-12-20,4,052,0580,285,5112
6625,2024-12-19,3,873,5214,656,1624
6624,2024-12-18,2,108,3498,570,4564
6623,2024-12-17,1,264,0596,502,4888
6622,2024-12-16,0,632,3424,131,4819
6621,2024-12-13,4,409,6199,987,1524
6620,2024-12-12,3,989,9105,211,9351
6619,2024-12-11,2,431,6217,902,7117
6618,2024-12-10,1,205,4259,098,5858
6617,2024-12-09,0,692,2617,417,7101
6616,2024-12-06,4,281,8939,514,7682
6615,2024-12-05,3,710,8253,294,6891
6614,2024-12-04,2,179,0000,264,8870
6613,2024-12-03,1,340,1978,435,7392
6612,2024-12-02,0,175,3920,898,9664
6611,2024-11-29,4,656,3212,136,6468
6610,2024-11-28,3,878,4640,174,0564
6609,2024-11-27,2,638,8963,722,3977
6608,2024-11-26,1,814,5653,386,8761
6607,2024-11-25,0,566,7220,122,2760
6606,2024-11-22,4,147,2532,787,5780
6605,2024-11-21,3,138,3340,600,9409
6604,2024-11-20,2,406,7649,321,0164
6603,2024-11-19,1,956,1088,786,4649
6602,2024-11-18,0,035,5730,506,5145
6601,2024-11-15,4,091,3631,766,5279
6600,2024-11-14,3,530,3952,552,5089
6599,2024-11-13,2,091,3005,571,1508
6598,2024-11-12,1,518,0206,158,3451
6597,2024-11-11,0,230,3369,487,4350
6596,2024-11-08,4,984,8888,955,3760
6595,2024-11-07,3,395,0313,808,4973
6594,2024-11-06,2,359,7143,935,2136
6593,2024-11-05,1,290,2667,791,5704
6592,2024-11-04,0,187,4412,965,5311
6591,2024-11-01,4,241,5709,298,6977
6590,2024-10-31,3,133,4059,989,8998
